WeeksToGoal,WeeklyTotal,Mesocycle,Event
11,66 miles,Endurance,Recovery 6 mi
11,66 miles,Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
11,66 miles,Endurance,Medium-long run 12 mi
11,66 miles,Endurance,Recovery 6 mi
11,66 miles,Endurance,Medium-long run 11 mi
11,66 miles,Endurance,Recovery 6 mi
11,66 miles,Endurance,Marathon-pace run 17 mi w/ 8 mi @ marathon pace
10,72 miles,Endurance,Recovery 6 mi a.m. 4 mi p.m.
10,72 miles,Endurance,Lactate threshold 10 mi w/ 4 mi @ 15K to half marathon race pace
10,72 miles,Endurance,General aerobic 10 mi
10,72 miles,Endurance,Recovery 6 mi
10,72 miles,Endurance,Medium-long run 12 mi
10,72 miles,Endurance,Recovery 6 mi
10,72 miles,Endurance,Long run 18 mi
9,75 miles,Endurance,Recovery 6 mi a.m. 4 mi p.m.
9,75 miles,Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
9,75 miles,Endurance,Medium-long run 13 mi
9,75 miles,Endurance,Recovery 6 mi
9,75 miles,Endurance,Medium-long run 13 mi
9,75 miles,Endurance,Recovery 6 mi
9,75 miles,Endurance,Marathon-pace run 19 mi w/ 10 mi @ marathon pace
8,77 miles,Endurance,Recovery 6 mi a.m. 4 mi p.m.
8,77 miles,Endurance,Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
8,77 miles,Endurance,Medium-long run 15 mi
8,77 miles,Endurance,Recovery 6 mi
8,77 miles,Endurance,Medium-long run 13 mi
8,77 miles,Endurance,Recovery 6 mi
8,77 miles,Endurance,Long run 17 mi
7,70 miles,Lactate Threshold + Endurance,Recovery 6 mi
7,70 miles,Lactate Threshold + Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
7,70 miles,Lactate Threshold + Endurance,Medium-long run 15 mi
7,70 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
7,70 miles,Lactate Threshold + Endurance,Lactate threshold 10 mi w/ 4 mi @ 15K to half marathon race pace
7,70 miles,Lactate Threshold + Endurance,General aerobic + speed 7 mi w/ 10x100 m strides
7,70 miles,Lactate Threshold + Endurance,Long run 18 mi
6,84 miles,Lactate Threshold + Endurance,Recovery 6 mi a.m. 4 mi p.m.
6,84 miles,Lactate Threshold + Endurance,General aerobic 9 mi
6,84 miles,Lactate Threshold + Endurance,VO2max 12 mi w/ 5x1200 m @ 5k race pace
6,84 miles,Lactate Threshold + Endurance,Medium-long run 15 mi a.m. Recovery 4 mi p.m.
6,84 miles,Lactate Threshold + Endurance,General aerobic 10 mi
6,84 miles,Lactate Threshold + Endurance,Recovery + speed 7 mi w/ 6x100 m strides
