WeeksToGoal,WeeklyTotal,Mesocycle,Event
3,24 miles,Multiple,Rest or cross-training
3,24 miles,Multiple,Rest or cross-training
3,24 miles,Multiple,Recovery 5 mi
3,24 miles,Multiple,Rest or cross-training
3,24 miles,Multiple,Recovery 6 mi
3,24 miles,Multiple,Recovery 5 mi
3,24 miles,Multiple,General aerobic 8 mi
2,38 miles,Multiple,Rest or cross-training
2,38 miles,Multiple,Recovery 6 mi
2,38 miles,Multiple,General aerobic 8 mi
2,38 miles,Multiple,Rest or cross-training
2,38 miles,Multiple,General aerobic + speed 8 mi w/ 8x100 m strides
2,38 miles,Multiple,Recovery 5 mi
2,38 miles,Multiple,Medium-long run 11 mi
1,48 miles,Multiple,Rest or cross-training
1,48 miles,Multiple,VO2max 8 mi w/ 5x800 m @ 5k race pace
1,48 miles,Multiple,Recovery 5 mi
1,48 miles,Multiple,Medium-long run 13 mi
1,48 miles,Multiple,Recovery 4 mi
1,48 miles,Multiple,Recovery + speed 5 mi w/ 8x100 m strides
1,48 miles,Multiple,Medium-long run 11 mi
Race week,28 miles,Multiple,Rest
Race week,28 miles,Multiple,Recovery 6 mi
Race week,28 miles,Multiple,Dress rehearsal 7 mi w/ 2 mi @ marathon race pace
Race week,28 miles,Multiple,Recovery 6 mi
Race week,28 miles,Multiple,Recovery + speed 5 mi w/ 6 x 100 m strides
Race week,28 miles,Multiple,Recovery 4 mi
Race week,28 miles,Multiple,Second marathon
