WeeksToGoal,WeeklyTotal,Mesocycle,Event
11,55 miles,Endurance,Rest or cross-training
11,55 miles,Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
11,55 miles,Endurance,Medium-long run 11 mi
11,55 miles,Endurance,Recovery 5 mi
11,55 miles,Endurance,Medium-long run 11 mi
11,55 miles,Endurance,Recovery 5 mi
11,55 miles,Endurance,Marathon-pace run 15 mi w/ 8 mi @ marathon pace
10,59 miles,Endurance,Rest or cross-training
10,59 miles,Endurance,Medium-long run 12 mi
10,59 miles,Endurance,Medium-long run 11 mi
10,59 miles,Endurance,Recovery 5 mi
10,59 miles,Endurance,Lactate threshold 9 mi w/ 4 mi @ 15K to half marathon race pace
10,59 miles,Endurance,Recovery 5 mi
10,59 miles,Endurance,Long run 17 mi
9,62 miles,Endurance,Rest or cross-training
9,62 miles,Endurance,General aerobic + speed 9 mi w/ 10x100 m strides
9,62 miles,Endurance,Medium-long run 14 mi
9,62 miles,Endurance,Recovery 5 mi
9,62 miles,Endurance,Medium-long run 12 mi
9,62 miles,Endurance,Recovery 5 mi
9,62 miles,Endurance,Marathon-pace run 17 mi w/ 10 mi @ marathon pace
8,66 miles,Endurance,Rest or cross-training
8,66 miles,Endurance,Medium-long run 13 mi
8,66 miles,Endurance,Medium-long run 15 mi
8,66 miles,Endurance,Recovery 5 mi
8,66 miles,Endurance,Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
8,66 miles,Endurance,Recovery 5 mi
8,66 miles,Endurance,Medium-long run 18 mi
7,59 miles,Lactate Threshold+Endurance,Rest or cross-training
7,59 miles,Lactate Threshold+Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
7,59 miles,Lactate Threshold+Endurance,Medium-long run 15 mi
7,59 miles,Lactate Threshold+Endurance,Recovery 5 mi
7,59 miles,Lactate Threshold+Endurance,Lactate threshold 10 mi w/ 4 mi @ 15K to half marathon race pace
7,59 miles,Lactate Threshold+Endurance,General aerobic 7 mi
7,59 miles,Lactate Threshold+Endurance,Long run 17 mi
6,70 miles,Lactate Threshold+Endurance,Rest or cross-training
6,70 miles,Lactate Threshold+Endurance,Recovery 6 mi am 4 mi pm
6,70 miles,Lactate Threshold+Endurance,VO2 max 11 mi w/ 5 x 1200m @ 5K race pace
6,70 miles,Lactate Threshold+Endurance,Medium-long run 15 mi
6,70 miles,Lactate Threshold+Endurance,General aerobic 10 mi
6,70 miles,Lactate Threshold+Endurance,Recovery 6 mi
6,70 miles,Lactate Threshold+Endurance,Marathon-pace run 18 mi w/ 12 mi @ marathon pace
5,70 miles,Lactate Threshold+Endurance,Rest or cross-training
5,70 miles,Lactate Threshold+Endurance,General aerobic + speed 9 mi w/ 10x100 m strides
5,70 miles,Lactate Threshold+Endurance,Medium-long run 15 mi
5,70 miles,Lactate Threshold+Endurance,Recovery 7 mi
5,70 miles,Lactate Threshold+Endurance,Lactate threshold 12 mi w/ 7 mi @ 15K to half marathon race pace
5,70 miles,Lactate Threshold+Endurance,Recovery 7 mi
5,70 miles,Lactate Threshold+Endurance,Long run 21 mi
4,64-68 miles,Race Preparation,Rest or cross-training
4,64-68 miles,Race Preparation,VO2 max 9 mi w/ 5 x 600m @ 5K race pace
4,64-68 miles,Race Preparation,Medium-long run 15 mi
4,64-68 miles,Race Preparation,Recovery + speed 7 mi w// 6x100 m strides
4,64-68 miles,Race Preparation,Recovery 6 mi
4,64-68 miles,Race Preparation,8K-15K tune-up race
4,64-68 miles,Race Preparation,Long run 18 mi
3,70 miles,Race Preparation,Rest or cross-training
3,70 miles,Race Preparation,Recovery 6 mi am 4 mi pm
3,70 miles,Race Preparation,VO2 max 11 mi w/ 5 x 600m @ 5K race pace
3,70 miles,Race Preparation,Medium-long run 15 mi
3,70 miles,Race Preparation,General aerobic 8 mi
3,70 miles,Race Preparation,Recovery 6 mi
3,70 miles,Race Preparation,Long run 20 mi
2,57-59 miles,Race Preparation,Rest or cross-training
2,57-59 miles,Race Preparation,VO2 max 8 mi w/ 5 x 600m @ 5K race pace
2,57-59 miles,Race Preparation,Medium-long run 12 mi
2,57-59 miles,Race Preparation,Recovery + speed 6 mi w// 6x100 m strides
2,57-59 miles,Race Preparation,Recovery 5 mi
2,57-59 miles,Race Preparation,8K-10K tune-up race
2,57-59 miles,Race Preparation,Long run 17 mi
1,44 miles,Taper and Race,Rest or cross-training
1,44 miles,Taper and Race,General aerobic + speed 8 mi w/ 8x100 m strides
1,44 miles,Taper and Race,Recovery 4 mi
1,44 miles,Taper and Race,VO2 max 8 mi w/ 3 x 1600m @ 5K race pace
1,44 miles,Taper and Race,Recovery 5 mi
1,44 miles,Taper and Race,Recovery + speed 6 mi w/ 8x100 m strides
1,44 miles,Taper and Race,Medium-long run 13 mi
0,28 miles,Taper and Race,Rest or cross-training
0,28 miles,Taper and Race,Recovery 7 mi
0,28 miles,Taper and Race,Dress rehearsal 7 mi with 2 mi @ race pace
0,28 miles,Taper and Race,Recovery 5 mi
0,28 miles,Taper and Race,Recovery + speed 5 mi w/ 6x100 m strides
0,28 miles,Taper and Race,Recovery 4 mi
0,28 miles,Taper and Race,Goal marathon


