WeeksToGoal,WeeklyTotal,Mesocycle,Event
5,24 miles,Multiple,Rest or cross-training
5,24 miles,Multiple,Rest or cross-training
5,24 miles,Multiple,Recovery 5 mi
5,24 miles,Multiple,Rest or cross-training
5,24 miles,Multiple,Recovery 6 mi
5,24 miles,Multiple,Recovery 5 mi
5,24 miles,Multiple,General aerobic 8 mi
4,37 miles,Multiple,Rest or cross-training
4,37 miles,Multiple,Recovery 6 mi
4,37 miles,Multiple,General aerobic 8 mi
4,37 miles,Multiple,Rest or cross-training
4,37 miles,Multiple,General aerobic + speed 8 mi w/ 8x100 m strides
4,37 miles,Multiple,Recovery 5 mi
4,37 miles,Multiple,General aerobic 10 mi
3,52 miles,Multiple,Rest or cross-training
3,52 miles,Multiple,General aerobic + speed 8 mi w/ 8x100 m strides
3,52 miles,Multiple,Medium-long run 12 mi
3,52 miles,Multiple,Recovery 4 mi
3,52 miles,Multiple,VO2max 9 mi w/ 6x800 m @ 5k race pace
3,52 miles,Multiple,Recovery 5 mi
3,52 miles,Multiple,Medium-long run 15 mi
2,58-60 miles,Multiple,Rest or cross-training
2,58-60 miles,Multiple,VO2max 9 mi w/ 6x600 m @ 5k race pace
2,58-60 miles,Multiple,Medium-long run 11 mi
2,58-60 miles,Multiple,Recovery + speed 6 mi w/ 6 x 100 m strides
2,58-60 miles,Multiple,Recovery 5 mi
2,58-60 miles,Multiple,8K-10K tune-up race
2,58-60 miles,Multiple,Long run 18 mi
1,46 miles,Multiple,Rest or cross-training
1,46 miles,Multiple,General aerobic + speed 8 mi w/ 8x100 m strides
1,46 miles,Multiple,Recovery 5 mi
1,46 miles,Multiple,VO2max 9 mi w/ 3x1600 m @ 5k race pace
1,46 miles,Multiple,Recovery 5 mi
1,46 miles,Multiple,Recovery + speed 6 mi w/ 8x100 m strides
1,46 miles,Multiple,Medium-long run 13 mi
Race week,28 miles,Multiple,Rest
Race week,28 miles,Multiple,Recovery 6 mi
Race week,28 miles,Multiple,Dress rehearsal 7 mi w/ 2 mi @ marathon race pace
Race week,28 miles,Multiple,Recovery 6 mi
Race week,28 miles,Multiple,Recovery + speed 5 mi w/ 6 x 100 m strides
Race week,28 miles,Multiple,Recovery 4 mi
Race week,28 miles,Multiple,Second marathon
