WeeksToGoal,WeeklyTotal,Mesocycle,Event
17,54 miles,Endurance,Rest or cross-training
17,54 miles,Endurance,Lactate threshold 9 mi w/ 4 mi @ 15K to half marathon race pace
17,54 miles,Endurance,Medium-long run 11 mi
17,54 miles,Endurance,Recovery 5 mi
17,54 miles,Endurance,General aerobic 9 mi
17,54 miles,Endurance,Recovery 5 mi
17,54 miles,Endurance,Medium-long run 15 mi
16,55 miles,Endurance,Rest or cross-training
16,55 miles,Endurance,General aerobic + speed 8 mi w/ 10x100 m strides
16,55 miles,Endurance,Medium-long run 12 mi
16,55 miles,Endurance,Recovery 5 mi
16,55 miles,Endurance,General aerobic 9 mi
16,55 miles,Endurance,Recovery 5 mi
16,55 miles,Endurance,Marathon-pace run 16 mi w/ 8 mi @ marathon pace
15,58 miles,Endurance,Rest or cross-training
15,58 miles,Endurance,Medium-long run 11 mi
15,58 miles,Endurance,Medium-long run 13 mi
15,58 miles,Endurance,Recovery 5 mi
15,58 miles,Endurance,Lactate threshold 9 mi w/ 4 mi @ 15K to half marathon race pace
15,58 miles,Endurance,Recovery 5 mi
15,58 miles,Endurance,Medium-long run 15 mi
14,62 miles,Endurance,Rest or cross-training
14,62 miles,Endurance,General aerobic + speed 9 mi w/ 10x100 m strides
14,62 miles,Endurance,Medium-long run 14 mi
14,62 miles,Endurance,Recovery 5 mi
14,62 miles,Endurance,Medium-long run 11 mi
14,62 miles,Endurance,Recovery 5 mi
14,62 miles,Endurance,Long run 18 mi
13,63 miles,Endurance,Rest or cross-training
13,63 miles,Endurance,Lactate threshold 9 mi w/ 5 mi @ 15K to half marathon race pace
13,63 miles,Endurance,Medium-long run 14 mi
13,63 miles,Endurance,Recovery 5 mi
13,63 miles,Endurance,Medium-long run 12 mi
13,63 miles,Endurance,Recovery 5 mi
13,63 miles,Endurance,Marathon-pace run 18 mi w/ 10 mi @ marathon pace
12,55 miles,Recovery,Rest or cross-training
12,55 miles,Recovery,General aerobic + speed 8 mi w/ 10x100 m strides
12,55 miles,Recovery,Medium-long run 12 mi
12,55 miles,Recovery,Recovery 5 mi
12,55 miles,Recovery,General aerobic 10 mi
12,55 miles,Recovery,Recovery 5 mi
12,55 miles,Recovery,Medium-long run 15 mi
11,68 miles,Lactate Threshold+Endurance,Rest or cross-training
11,68 miles,Lactate Threshold+Endurance,Lactate threshold 10 mi w/ 5 mi @ 15K to half marathon race pace
11,68 miles,Lactate Threshold+Endurance,Medium-long run 14 mi
11,68 miles,Lactate Threshold+Endurance,Recovery 5 mi
11,68 miles,Lactate Threshold+Endurance,Medium-long run 11 mi
11,68 miles,Lactate Threshold+Endurance,General aerobic + speed 7 mi w/ 10x100 m strides
11,68 miles,Lactate Threshold+Endurance,Long run 21 mi
10,66 miles,Lactate Threshold+Endurance,Rest or cross-training
10,66 miles,Lactate Threshold+Endurance,Recovery 6 mi am 4 mi pm
10,66 miles,Lactate Threshold+Endurance,Medium-long run 14 mi
10,66 miles,Lactate Threshold+Endurance,Recovery 5 mi
10,66 miles,Lactate Threshold+Endurance,Medium-long run 11 mi
10,66 miles,Lactate Threshold+Endurance,General aerobic + speed 7 mi w/ 10x100 m strides
10,66 miles,Lactate Threshold+Endurance,Long run 20 mi
9,67 miles,Lactate Threshold+Endurance,Rest or cross-training
9,67 miles,Lactate Threshold+Endurance,Recovery 6 mi am 4 mi pm
9,67 miles,Lactate Threshold+Endurance,Medium-long run 15 mi
9,67 miles,Lactate Threshold+Endurance,Recovery 6 mi
9,67 miles,Lactate Threshold+Endurance,Medium-long run 13 mi
9,67 miles,Lactate Threshold+Endurance,Recovery + speed 7 mi w/ 10x100 m strides
9,67 miles,Lactate Threshold+Endurance,Marathon-pace run 16 mi w/ 12 mi @ marathon pace
8,58 miles,Recovery,Rest or cross-training
8,58 miles,Recovery,General aerobic 9 mî
8,58 miles,Recovery,VO2 max 9 mi w/ 6 x 800m @ 5K race pace
8,58 miles,Recovery,Recovery 6 mi
8,58 miles,Recovery,Medium-long run 11 mi
8,58 miles,Recovery,General aerobic + speed 8 mi w/ 10x100 m strides
8,58 miles,Recovery,Medium-long run 15 mi
7,70 miles,Lactate Threshold+Endurance,Rest or cross-training
7,70 miles,Lactate Threshold+Endurance,Recovery 6 mi am 4 mi pm
7,70 miles,Lactate Threshold+Endurance,Medium-long run 15 mi
7,70 miles,Lactate Threshold+Endurance,Recovery 6 mi
7,70 miles,Lactate Threshold+Endurance,Lactate threshold 12 mi w/ 7 mi @ 15K to half marathon race pace
7,70 miles,Lactate Threshold+Endurance,Recovery 5 mi
7,70 miles,Lactate Threshold+Endurance,Long run 22 mi
6,65-69 miles,Race Preparation,Rest or cross-training
6,65-69 miles,Race Preparation,VO2 max 9 mi w/ 5 x 600m @ 5K race pace
6,65-69 miles,Race Preparation,Medium-long run 14 mi
6,65-69 miles,Race Preparation,Recovery + speed 6 mi w/ 6x100 m strides am 4 mi pm
6,65-69 miles,Race Preparation,Recovery 5 mi
6,65-69 miles,Race Preparation,8K-15K tune-up race
6,65-69 miles,Race Preparation,Long run 18 mi
5,70 miles,Race Preparation,Rest or cross-training
5,70 miles,Race Preparation,VO2 max 10 mi w/ 6 x 1000m @ 5K race pace
5,70 miles,Race Preparation,Medium-long run 15 mi
5,70 miles,Race Preparation,Recovery 6 mi am 4 mi pm
5,70 miles,Race Preparation,Medium-long run 12 mi
5,70 miles,Race Preparation,Recovery 5 mi
5,70 miles,Race Preparation,Marathon-pace run 18 mi w/ 14 mi @ marathon pace
4,60-64 miles,Race Preparation,Rest or cross-training
4,60-64 miles,Race Preparation,VO2 max 9 mi w/ 5 x 600m @ 5K race pace
4,60-64 miles,Race Preparation,Medium-long run 14 mi
4,60-64 miles,Race Preparation,Recovery + speed 6 mi w/ 6x100 m strides am 4 mi pm
4,60-64 miles,Race Preparation,Recovery 5 mi
4,60-64 miles,Race Preparation,8K-15K tune-up race
4,60-64 miles,Race Preparation,Long run 17 mi
3,68 miles,Race Preparation,Rest or cross-training
3,68 miles,Race Preparation,Recovery 6 mi am 4 mi pm
3,68 miles,Race Preparation,VO2 max 11 mi w/ 5 x 1200m @ 5K race pace
3,68 miles,Race Preparation,Medium-long run 14 mi
3,68 miles,Race Preparation,General aerobic + speed 8 mi w/ 8x100 m strides
3,68 miles,Race Preparation,Recovery 5 mi
3,68 miles,Race Preparation,Long run 20 mi
2,55-57 miles,Taper and Race,Rest or cross-training
2,55-57 miles,Taper and Race,Recovery + speed 7 mi w/ 8x100 m strides
2,55-57 miles,Taper and Race,Medium-long run 12 mi
2,55-57 miles,Taper and Race,Recovery + speed 5 mi w/ 6x100 m strides
2,55-57 miles,Taper and Race,Recovery 5 mi
2,55-57 miles,Taper and Race,8K-10K tune-up race
2,55-57 miles,Taper and Race,Long run 17 mi
1,43 miles,Taper and Race,Rest or cross-training
1,43 miles,Taper and Race,General aerobic + speed 7 mi w/ 8x100 m strides
1,43 miles,Taper and Race,Recovery 4 mi
1,43 miles,Taper and Race,VO2 max 8 mi w/ 3 x 1600m @ 5K race pace
1,43 miles,Taper and Race,Recovery 5 mi
1,43 miles,Taper and Race,Recovery + speed 6 mi w/ 8x100 m strides
1,43 miles,Taper and Race,Medium-long run 13 mi
0,28 miles,Taper and Race,Rest or cross-training
0,28 miles,Taper and Race,Recovery 7 mi
0,28 miles,Taper and Race,Dress rehearsal 7 mi with 2 mi @ race pace
0,28 miles,Taper and Race,Recovery 5 mi
0,28 miles,Taper and Race,Recovery + speed 5 mi w/ 6x100 m strides
0,28 miles,Taper and Race,Recovery 4 mi
0,28 miles,Taper and Race,Goal marathon


